Question,Answer
Comprei telefone fixo entre os anos 70 e 90 Li que tenho direito a acoes Como posso verificar se as possuo,O BB responde pela pesquisa de acoes de todas as extintas operadoras estatais incorporadas pela Oi SA exceto a extinta TelespDessa forma se voce possuipossuiu linha fixa das extintas operadoras de todos os estados brasileiros exceto Sao Paulo procure a agencia do BB de sua preferencia e apresente copia de pelo menos um dos seguintes documentos Contrato de aquisicao de linha telefonica fixa Carne de pagamento de aquisicao de linha de telefonia fixa Ficha de inscricao no plano de expansao para aquisicao de linha telefonica Conta telefonica antiga no caso da antiga CETELNa ausencia de documentos apresentenos uma declaracao simples informando ano de compra da linha telefonica fixa e a operadora responsavelIndependentemente do resultado da pesquisa havera necessidade de confeccao de cadastro no BB assim nao se esqueca de levar tambem Se pessoa fisica registro geral com fepublica CPF comprovante de residencia e de rendimentos Se pessoa juridica contrato ou estatuto social em vigor comprovante de faturamento alem de registro geral CPF comprovante de residencia de seus representantesO prazo medio para a pesquisa e de 60 dias
No caso de falecimento de um parente proximo que possuia acoes de empresas eou cotas de fundos eou cepac de emissores que contrataram o BB como escriturador como faco para resgatalos,Por serem classificados como bem patrimonial os valores mobiliarios que o falecido possuia tais como acoes e cotas de fundos imobiliarios devem ser incluidos em seu inventario de bensCaso nao tenha localizado extrato atualizado envie um email para aescrituraisbbcombr ou plataformariocsobhbbcombr e o recebera em cinco dias uteis no endereco que consta no cadastro do investidor falecidoOutra forma de obter a informacao restrita ao representante legal do espolio inventariante e solicitar impressao do extrato em uma de nossas agenciasFinalizado o inventario  judicial ou extrajudicial Lei 11041 ou a qualquer tempo em que o juiz autorize o resgate entregue na agencia de sua preferencia um dos seguintes documentos o alvara o formal de partilhanbsp homologado ou a escritura publica de inventario e partilha acompanhada da certidao de obitoO BB transmitira aos beneficiarios indicados nestes documentos todos os valores mobiliarios citados bem como seus frutosImportante ressaltar que Os beneficiarios devem possuir cadastro no BB exceto no caso de alvara para venda em que apenas o proprio investidor falecido deve ser cadastrado A transmissao aos beneficiarios e a venda possuem prazos diferenciados que podem variar de 10 dez a 30 trinta dias sendo que o processo de venda tende a ser mais longo por envolver alem do proprio BB a bolsa de valores A transmissaotransferencia e sujeita a tributacao sobre ganho de capital de que trata o Art 5 da Lei 11033 
Preciso declarar meu imposto de renda e recebi dividendosrendimentos de acoes de empresas eou cotas de fundos que contrataram o BB como escriturador Como receber meu informe de rendimentos,O BB envia o informe de rendimentos a todos os investidores que mantem seu endereco atualizado anualmente durante o mes de fevereiro Caso nao tenha recebido o seu InformeSe voce e cliente BB Acesse sua pagina do BB wwwbbcombr opcao Mais Transacoes gtgt Extratos gtgt Informes para Imposto de Renda gtgt Rendimentos de acoes Ou solicite a segunda via ao seu gerenteSe voce nao e cliente BB Dirijase a agencia BB de sua preferencia e solicite impressao de segunda via do informe Em consequencia da Lei de Sigilo Bancario o BB nao envia informes por email
O que o Banco do Brasil faz para ser sustentavel,O Banco do Brasil adota o referencial da sustentabilidade como premissa da sua atuacao Ou seja a sustentabilidade permeia toda a estrutura organizacional e esta expressa em seus valores missao politicas estrategias corporativas e nos diversos compromissos voluntarios assumidos A responsabilidade socioambiental e considerada no processo de tomada de decisao Isso significa desenhar processos produtos e servicos a luz de seus impactos sociais e ambientaisPara o Banco do Brasil responsabilidade socioambiental e ter a etica como compromisso e o respeito como atitude nas relacoes com funcionarios colaboradores fornecedores parceiros clientes credores acionistas concorrentes comunidade governo e meio ambienteComo forma de tangibilizar sua estrategia em sustentabilidade e a fim de cumprir sua missao e alcancar a visao de futuro estabelecida o Banco dispoe desde 2005 de um Plano de Sustentabilidade  Agenda 21 do Banco do Brasil instrumento por meio do qual o Banco do Brasil aprimora seus negocios e processos alinhandose as melhores praticas mundiais e contribuindo para que a responsabilidade socioambiental permeie toda a Organizacao buscando a geracao de resultados sustentaveis O reconhecimento a essa postura e evidenciado com a listagem do Banco do Brasil no Indice Dow Jones de Sustentabilidade da Bolsa de Nova Iorque DSJI e no Indice de Sustentabilidade Empresarial ISE da BMampFBovespaPara manterse atualizado e alinhado as demandas dos publicos de interesse o Plano de Sustentabilidade BB e revisto a cada dois anos mas sua atualizacao podera ocorrer a qualquer tempo em razao das demandas sociais que surgirem e forem consideradas prioritarias A atualizacao e a implementacao das acoes constantes da Agenda 21 e um processo sistematico que envolve todas as areas do Banco e representantes de seus principais publicos de relacionamento
Quais os destaques da atuacao do Banco do Brasil em desenvolvimento sustentavel,O Banco busca disseminar em todo o Conglomerado os principios constantes da Agenda 21 do BB seu Plano de Sustentabilidade mantendo os processos negociais coerentes com essa filosofia e fortalecendo a atuacao com seus publicos de relacionamentoA Agenda 21 do BB esta organizada em tres eixos  Processos e Gestao RSA Negocios Sustentaveis e Investimento Social Privado  nos quais o Banco define e revisa periodicamente desafios e para cada um deles uma serie de acoes garantindo o desdobramento dessas diretrizes ate a operacaoNo eixo Negocios Sustentaveis o Banco implementa acoes de apoio ao desenvolvimento sustentavel financiando atividades de geracao de trabalho e renda e de inclusao social alem de utilizar tecnologias ambientalmente adequadas para concretizacao dessas acoesNo tocante ao eixo Processos e Gestao o BB dissemina principios que fortalecem a cultura de RSA com seus publicos de relacionamento ao manter processos administrativos e negociais coerentes com esses principiosO eixo de Investimento Social Privado completa a estrutura da Agenda 21 do BB com foco na melhoria da qualidade de vida da populacao brasileira As iniciativas deste eixo envolvem o apoio a programas de conscientizacao e preservacao ambiental ou relacionados a defesa dos direitos humanos a captacao de recursos para apoiar o desenvolvimento social e ao incentivo ao voluntariado entre os funcionariosAbaixo destacamos algumas das iniciativas em sustentabilidade realizadas pelo BBAgua Brasil O Banco do Brasil um dos principais agentes financeiros do agronegocio do pais adotou a causa agua como direcionador de seu posicionamento institucional em sustentabilidade em virtude dessa causa estar apoiada em fatores sociais economicos e ambientais de alta relevancia para o desenvolvimento sustentavel do BrasilPara traduzir a escolha desse posicionamento em sustentabilidade em bases concretas foi aprovado em 2010 o desenvolvimento do Programa Agua Brasil firmando parcerias inovadoras com a Fundacao Banco do Brasil a organizacao nao governamental WWFBrasil e a Agencia Nacional de Aguas ANAVisando atuar em todos os biomas e regioes brasileiras desenvolvendo modelos a serem replicados pelo pais o Agua Brasil tem como principal objetivo contribuir para a conservacao dos recursos hidricos O Programa esta estruturado em quatro eixos de atuacao Projetos Socioambientais meio urbano e rural Comunicacao e Engajamento Mitigacao de Riscos e Negocios Sustentaveis Os projetos em parceria com a Fundacao Banco do Brasil buscam a melhoria da qualidade e da oferta de agua ampliacao da cobertura da vegetacao natural em 14 microbacias hidrograficas e estimulo ao consumo responsavel e tratamento adequado dos residuos solidos em 5 municipios brasileiros Saiba mais sobre o programaDesenvolvimento sustentavelnbsp O Banco do Brasil instituiu em 2003 a Estrategia Negocial Desenvolvimento Regional Sustentavel que busca impulsionar o desenvolvimento sustentavel das regioes onde o BB esta presente por meio da mobilizacao de agentes economicos sociais e politicos no apoio a atividades produtivas economicamente viaveis socialmente justas e ambientalmente corretas sempre observada e respeitada a diversidade culturalPrograma de Ecoeficiencia As diversas iniciativas do Banco para reduzir o consumo de recursos naturais e destinar adequadamente os residuos sao guiadas pelo Programa de Ecoeficiencia A gestao da ecoeficiencia faz parte do modelo de negocios do BB desde a decada de 1990 e esta amparada por ferramentas de controle e monitoramento No ambito das dependencias o Banco do Brasil utiliza instrumentos que auxiliam no acompanhamento do cumprimento do estabelecido na estrategia corporativa Destacase o indice de ecoeficencia pegada ambiental que visa disseminar a cultura e a pratica de ecoeficiencia entre os funcionarios do BB alinhada a estrategia BB Ecoeficiente e as melhores praticas de gestao ambiental corporativas de acordo com a avaliacao do DJSI do ISE e da ISO 14001 por meio da reducao de consumo de recursos naturais e realizacao de coleta seletiva com encaminhamento dos residuos solidos reciclaveis para cooperativasassociacoes de catadores de materiais reciclaveisPrograma de Inclusao e Transformacao por meio da Doacao de Computadores Substituidos Desde 2004 o BB promove a destinacao social de seus microcomputadores a diversas entidades que atendem populacoes em situacao de fragilidade com o objetivo de contribuir para o desenvolvimento social ambiental e cultural e ampliar e promover a inclusao digital a cidadania e a melhoria das condicoes de vida e trabalho por meio da promocao da inclusao digitalPrograma Voluntariado Banco do Brasil O Banco do Brasil sempre marcou presenca na promocao da cidadania e do desenvolvimento sustentavel do Pais Desde 2003 o Banco apoia entre recursos da Fundacao Banco do Brasil e decorrentes de sua renuncia fiscal projetos de geracao de trabalho e renda cuidado ambiental e de promocao e garantia de direitos de criancas e adolescentes Destacase ainda o crescente envolvimento de milhares de funcionarios do BB em acoes voluntariasnbsp Em 2013 em reconhecimento a essa vocacao o Banco lancou o Portal do Voluntariado BB que oferece grande interatividade e autonomia aos voluntarios permite aos usuarios divulgar as entidades apoiadas por eles e suas respectivas necessidades criar acoes voluntarias publicar fotos videos comentarios e resultados de suas iniciativas Conheca o Portal do Voluntariado BBAcoes de enfrentamento a calamidades As acoes emergenciais do BB diante de calamidades consistem em um conjunto de medidas preaprovadas que visam assistir e diminuir o drama sofrido por comunidade clientes e funcionarios como abertura de conta para recebimento de doacoes em especie campanhas de arrecadacao fornecimento de copia de documentacao civil entre outras
Quais as ultimas certificacoes e reconhecimentos do BB em sustentabilidade,Reconhecimentos e premiacoes em 2013 Listado pelo segundo ano no Indice Dow Jones de Sustentabilidade da Bolsa de Nova Iorque Listado pelo nono ano no Indice de Sustentabilidade Empresarial da BMampF Bovespa Campeao do Premio Epoca Empresa Verde 2013  categoria Financas Carbon Disclousure Project  Global 500 As Melhores Empresas Para Voce Trabalhar  Guia Voce SA Green Project Awards  Loja da Sustentabilidade Listado no Ranking Global 100  Sustentabilidade Inventario de Emissoes GHG Protocol  Selo Ouro Programa Brasileiro GHG Protocol  Reconhecimento 5 anos
Quais as acoes realizadas pelo Banco do Brasil visando a mitigacao de riscos socioambientais,A questao do risco socioambiental esta contemplada no Plano de Sustentabilidade  Agenda 21 do BB por meio de diversas acoes que buscam o aprimoramento continuo do processo de avaliacao mitigacao e gestao deste risco na Organizacao Neste contexto e no ambito do Programa Agua Brasil o BB divulgou as Diretrizes de Sustentabilidade BB para o Credito para os setores de agronegocio energia eletrica construcao civil e mineracaonbsp A abordagem realizada nesse documento conecta politicas setoriais questoes socioambientais relevantes e temas estrategicos para o desenvolvimento sustentavel como florestas biodiversidade agua e mudancas climaticas Dessa forma o Banco objetiva a melhoria dos modelos de negocios voltados para o desenvolvimento sustentavel  melhores praticas na producao agropecuaria melhoria na gestao dos recursos hidricos e mitigacao ou adaptacao as mudancas climaticas Tratar as questoes ambientais e sociais como estrategicas e um processo de continuo aprimoramento e traz para o BB vantagens na identificacao de novas oportunidades de negociosReconhecimentos e premiacoes em 2013 Listado pelo segundo ano no Indice Dow Jones de Sustentabilidade da Bolsa de Nova Iorque Listado pelo nono ano no Indice de Sustentabilidade Empresarial da BMampF Bovespa Campeao do Premio Epoca Empresa Verde 2013  categoria Financas Carbon Disclousure Project  Global 500 As Melhores Empresas Para Voce Trabalhar  Guia Voce SA Green Project Awards  Loja da Sustentabilidade Listado no Ranking Global 100  Sustentabilidade Inventario de Emissoes GHG Protocol  Selo Ouro Programa Brasileiro GHG Protocol  Reconhecimento 5 anos
Como o Banco do Brasil presta contas a sociedade sobre suas acoes em sustentabilidade,Com o intuito de fortalecer a transparencia na prestacao de contas aos seus diversos publicos de relacionamento o Banco do Brasil produz e divulga o Relatorio Anual que reune em um unico documento o desempenho socioambiental as demonstracoes contabeis e os resultados economicos do ultimo periodo Dessa forma stakeholders e shareholders tem a possibilidade de avaliar de forma integrada o desempenho sustentavel do Banco O Relatorio e assegurado pela KPMG Auditores Independentes e tem nivel A de aplicacao das diretrizes estabelecidas pela Global Reporting Initiative GRI do Suplemento para o Setor Financeiro e considera os criterios disseminados pela Associacao Brasileira das Companhias Abertas AbrascaO Relatorio e disponibilizado em varios tipos de plataformas versao online em formato PDF pendrive tablet e mobile Veja mais informacoes sobre o Relatorio Anual
O que o Banco do Brasil pretende realizar em termos de sustentabilidade para um futuro proximo,Sustentabilidade nao tem linha de chegada e um processo de aprimoramento continuo A agenda socioambiental do BB atualizase constantemente incorporando novos desafios consolidando e aprofundando acoesA medida que se atende a demanda do publico novas demandas vao surgindo o que evidencia a importancia de aprimorarmos canais de interacao com os diversos publicos de relacionamento No caso do BB temos nossa Agenda 21 plano de acao em sustentabilidade que chegou a sua versao atual contemplando 92 macro acoes resultantes de consultas realizadas aos diversos publicos de relacionamento do BB  funcionarios investidores clientes fornecedores e especialistas em sustentabilidadeO resultado deste processo interativo se traduz nos atuais desafios do BB com relacao ao temaNegocios com foco no desenvolvimento sustentavelnbsp  Implementar acoes de apoio ao desenvolvimento sustentavelnbsp  Financiar atividades de geracao de trabalho e renda e de inclusao socialnbsp  Financiar atividades e tecnologias ambientalmente adequadasPraticas administrativas e negociais com Responsabilidade Socioambientalnbsp  Disseminar os principios e fortalecer a cultura de RSA na Comunidade BBnbsp  Manter processos administrativos e negociais coerentes com os Principios de RSAnbsp  Fortalecer a interacao com os publicos de relacionamentoInvestimento social privadonbsp  Contribuir para a melhoria da qualidade de vida da populacao brasileiranbsp  Apoiar programas relacionados a consciencia e preservacao ambiental bem como a defesa e a promocao dos direitos humanosnbsp  Captar recursos para apoiar acoes vinculadas ao desenvolvimento socialnbsp  Incentivar a atuacao dos funcionarios em trabalhos voluntarios e acoes sociais
Possuo acoes de empresas eou cotas de fundos eou cepac de emissores que contrataram o BB como escriturador e quero negocialos O que fazer,Se voce e cliente BB e possui um dos valores mobiliarios mencionados na pergunta deve procurar seu gerente e solicitar deposito em custodia Os valores sao negociaveis em bolsa de valores e voce nao consegue dar a ordem na internetUma vez em custodia a ordem de venda pode ser registrada na mesma hora ou a qualquer momento em sua pagina do BB wwwbbcombr na opcao investimentos gtgt acoesSe voce utiliza os servicos de outras instituicoes deve procurala e solicitar emissao de uma ordem de transferencia para a bolsa denominada OTA Essa instituicao intermediaria passa a ser responsavel pela entrega da OTA ao BB bem como pela qualificacao civil do investidor O BB apos certificarse da legitimidade da ordem cumprea transferindo as acoescotascepac para negociacao na bolsa de valores sob a custodiaresponsabilidade da intermediaria O prazo medio para conclusao do processo e de 4 quatro dias uteis contados a partir da legitimacao da ordemNo caso de acoes nao negociaveis em bolsa de valores empresa fechada a transacao devera ser realizada de forma particular por contrato firmado entre as partes Vendedor e comprador podem redigir o contrato por conta propria na forma da legislacao vigente ou em cartorio contrato publico e depois entregalo em uma de nossas agencias ou comparecer a agencia de sua preferencia onde serao qualificados e o contrato sera impresso e enviado para processamento a unidade responsavel pelo seu processamento Independentemente da forma escolhida vendedor e comprador devem possuir cadastro atualizado no BB A negociacao particular tambem pode ser utilizada para transferencia de cepac e de acoes de empresas negociadas em bolsa salientandose que a transacao com acoes fica sujeita a tributacao sobre ganho de capital de que trata o Art5 da Lei 11033
SEGUROS  04 Como faco para solicitar a 2 via da minha apolice AutoVidaResidencial,Se voce tem um seguro de Auto pode pedir a segunda via de sua apolice ligando para o nosso SAC no telefone 0800 570 7042 nos sites wwwbbseguroscombr portal do cliente e wwwbbcombr area logada ou ainda via aplicativo BB Seguros que voce pode baixar a qualquer momentoPara os demais produtos fale com o SAC no telefone 0800 729 7000
SEGUROS  05 Como acionar as assistencias disponiveis no meu seguro E se o cliente estiver no exterior AutoVidaResidencial,Se voce tem um seguro Auto voce pode acionar as assistencias via Central de Atendimento no telefone 08007751532 ou ainda via aplicativo BB Seguro Auto que voce pode baixar a qualquer momento na loja de aplicativos do seu aparelhoSe voce tem um seguro de vida eou residencial e esta no Brasil ligue para o telefone 08007297000 mas se estiver no exterior ligue a cobrar para o telefone 55 11 46895684Vale ressaltar que para utilizar qualquer servico de assistencia a Central de Atendimento deve ser acionada pois nao ha qualquer reembolso de despesas
SEGUROS  03 Posso alterar os dados da minha apolice depois de emitida AutoVidaResidencial,Sim Dependendo do tipo de alteracao a seguradora procedera com uma nova analise do risco podendo ou nao aceitar a nova proposta de alteracaonbsp
Possuo acoes de empresas eou cotas de fundos eou cepac de emissores que contrataram o BB como escriturador Posso doalos a terceiros,Depende do valor mobiliario Se voce possui acoes eou cepac pode doalos a terceiros Entretanto a doacao de cotas de fundos imobiliarios nao e admitida pois esses valores tem negociacao restrita a mercados organizados e a doacao e semelhante a uma transferencia particular realizada fora do mercado O doador deve redigir um contrato de doacao particular na forma da legislacao vigente ou publico em cartorio e depois entregalo em uma de nossas agencias Se optar pelo contrato particular deve anexar comprovante de recolhimento do imposto de transmissao ou de sua isencao Independentemente da forma escolhida doador e donatario devem possuir cadastro atualizado no BB A doacao de acoes fica sujeita a tributacao sobre ganho de capital de que trata o Art5 da Lei 11033
