Question,Answer
Como faco para solicitar um talao de cheques,Para sua maior conveniencia voce pode solicitar um talao de cheques no Itau 30 horas pela internet na rota Conta Corrente gt Cheques gt Solicitar taloes pelo telefone 40044828 capitais e regioes metropolitanas ou 08009704828 demais localidadesPara maior conveniencia contrate o servico de entrega de talao de cheques em domicilio pois assim a reposicao sera automaticaPara acessar sua conta pela internet ou telefone e necessaria a utilizacao da senha eletronica e o iToken Itau ou Cartao de Seguranca Itau
Quando devo nominar um cheque,Todos os cheques iguais ou acima de R 10000 devem ser nominais O cheque nominal so pode ser depositado na conta da pessoa que esta descrita como beneficiaria do cheque O campo deve ser preenchido com o nome ou razao social completos e legiveisPara transferencia de um cheque nominal para terceiros basta fazer o endosso assinando no verso do cheque
Como faco para bloquearsustar um cheque,A oposicao tem por finalidade a sustacao do pagamento do cheque e pode ser feita a qualquer momento e tem eficacia imediataE feita pelo emitente ou pelo portador legitimado mediante comunicacao ao banco por escrito ou por meio eletronico justificando a oposicao O prazo do registro da oposicao ou do cancelamento do cheque e indeterminadoA oposicao feita pelo telefone e temporaria prazo maximo de 02 dias uteis e deverao ser confirmadas por escrito  caso nao seja confirmada no prazo serao consideradas inexistentesNo caso de roubofurto ou extravio de folhas de cheques em branco ou devidamente preenchidas que o cliente tenha registrado a ocorrencia em BO  Boletim de Ocorrencia Policial obtido em Delegacia de Policia ou pela internet ou em Declaracao da Delegacia de Policia o documento deve ser entregue pelo cliente em qualquer agencia do Itau para registroCheque apresentado antes do boletim de ocorrencia ser registrado na agencia e devolvido pelo motivo 70 passivel de protesto
O que e um cheque administrativo,E um cheque emitido pelo proprio banco em nome do cliente ou de um favorecido indicado pelo cliente pessoa que recebera o cheque A finalidade e atender as necessidades de pagamento do proprio banco liberacao de recursos provenientes de financiamentos a clientes e para deposito judicial em outra instituicaoO cheque deve ser sempre nominativo e pagavel em qualquer agencia
O que e um cheque avulso,E um documento que permite a movimentacao da contacorrente no guiche de caixa da agencia atendimento humano sem o cartao de debito ou talao de cheque para pagamentos eou saques Pode ser solicitado em qualquer agencia do Itau ou Itau Personnalite E necessario que cliente esteja portando documento de identificacao
Posso emitir um cheque predatado,O cheque predatado nao consta na legislacao ou seja se um cheque predatado for apresentado para pagamento antes do dia previsto o banco tera de pagalo ou devolvelo por um motivo aplicavel falta de fundos por exemplo Dessa forma o cheque predatado e um ato de confianca entre lojista e comprador
Quais sao os documentos de identificacao necessarios para abertura de conta,Documento de identificacao com foto carteira de identidade de trabalho ou de motoristaCPF proprio a informacao pode estar contida no documento de identificacao no cartao CPF ou no protocolo da Receita FederalComprovante de endereco contas de agua luz telefone ou gas com data de ate 180 diasComprovante de renda com data de ate 60 dias desejavel mas nao obrigatorionbspnbspnbsp
Como posso consultar o extrato e o saldo da contacorrente pela internet,Basta digitar sua agencia e conta na tela inicial opcao contacorrente gt extrato
Como faco a comprovacao de renda,A comprovacao de renda para abertura de contacorrente pode ser feita com os seguintes documentosComprovante de renda holerite ou contracheque dos ultimos 2 mesesRecibo da declaracao ou notificacao de restituicao do Imposto de Renda  IRDeclaracao de escritorio ou organizacao contabil DECORE devidamente registradoContrato de aluguel de imovel junto com o ultimo recibo de pagamentoComprovante ou recibo de pagamento de pensionistas com o timbre da empresaCarta emitida pela empresa Aceito para funcionarios de empresas que possuam contacorrente no ItauComprovante de recebimento de INSSCopia das paginas da carteira de trabalhoCedula G do IR para produtores ruraisContrato de Trabalho Temporario ou de EstagioRecibo de pagamento de salario ao funcionario publico Aceito quando o titular e funcionario publicoPagina do Diario Oficial com o nome o cargo e a tabela dos salariosComprovantes emitidos nos caixas eletronicos do Itau
Como faco para receber meu salario no Itau,Clique aqui e imprima o termo de transferencia de salarioPara saber mais sobre o assunto clique aqui
Como faco para alterar o meu pacote de servicos,nbspA alteracao do pacote de servicos podera ser feita em qualquer agencia do Itau Para consultar os pacotes de servicos disponiveis para contratacao e suas quantidades mensais de servicosnbspclique aqui
Como faco para verificar quais sao os servicos incluidos no meu pacote de servicos,A quantidade mensal de servicos incluidos em cada pacote de servicos pode ser consultada na Tabela Geral de Tarifas vigente disponivel nas agencias ou clique aquinbsp
Posso transferir a minha conta para outra agencia Itau,Simnbsp Para isso o titular deve comparecer a sua agencia atual ou a agencia de sua preferencia e solicitar a transferencia Seus saldos produtos e servicos sao automaticamente transferidos para a nova conta e voce continua a fazer suas operacoes bancarias normalmentePara que a transferencia ocorra e necessario que A conta esteja ativa A conta seja individual ou conjuntasolidaria A conta nao tenha problemas ou pendencias de cadastro falta de documentos O primeiro titular nao seja espolio cliente falecido Nenhum dos titulares tenha risco vencido ou cobranca em ativacao Nenhum dos titulares tenha nome no cadastro de emitentes de cheques sem fundos do Banco Central do Brasil  CCF Os titulares residam no paisA transferencia so e concluida apos o desbloqueio do novo cartao que nao podera ser utilizado imediatamente A data de inicio da utilizacao e de 3 dias uteis apos o desbloqueio A partir desta data voce pode utilizar o novo cartao para movimentar sua conta O cartao antigo sera bloqueado automaticamente
Como faco a regularizacao do meu CPF,nbspA regularizacao do seu CPF pode ser feita nas agencias do Banco do Brasil Caixa Economica Federal ou nos Correios com o preenchimento do formulario Pedido de Regularizacao da Situacao CadastralPara obter mais informacoes acesse o site da Receita Federal wwwreceitafazendagovbr ou no telefone 146
Por que minha conta esta bloqueada ou inativa,E preciso que voce va ate sua agencia com o documento de identidade e o cartao Itau Fale com o gerente ele pode analisar junto ao sistema do banco o motivo e orientar a melhor maneira de resolver a questao
O que acontece quando a conta e encerrada,nbspO encerramento e feito da seguinte maneiraa O banco resgata eventuais aplicacoes financeiras remanescentes integradas ou nao a contacorrente de investimento do cliente mesmo que signifique a perda de rendimentos futuros O valor do resgate e creditado na contacorrente do cliente Apos 4 dias da data de encerramento o banco emite e disponibiliza para a retirada do cliente uma ordem de pagamento no valor do saldo disponivel apurado no dia do encerramentob Serao devolvidos os cheques apresentados que nao tenham sido objeto de cancelamento contraordem ou oposicao pelo motivo 13  conta encerrada A devolucao do cheque pode causar a inclusao do nome do cliente e dos demais titulares no cadastro de emitentes de cheques sem fundos do Banco Central do Brasil  CCFO encerramento da conta nao significara a quitacao do Itau as operacoes de credito obrigacoes ou contratos pendentes de cumprimento
Qual o prazo para encerramento da conta,Cinco dias uteis para contas de pessoa fisica e 10 dias uteis para contas de pessoa juridica
O que e iConta Itau,E um pacote em que o cliente movimenta sua contacorrente exclusivamente pelos canais eletronicos E destinado a clientes usuarios dos canais eletronicos do Itau 30 horas internet caixa eletronico celular e telefone e nao necessita de atendimento pessoal
Qual tipo de cartao sera disponibilizado na iConta Itau,Na abertura da sua conta voce recebe o cartao Itau multiplo internacional Alem de realizar suas movimentacoes de contacorrente voce tem a conveniencia de escolher a melhor opcao para pagar suas compras na funcao debito ou credito no Brasil ou no exterior com a mesma senhaA funcao credito esta sujeita a analise e aprovacao de credito Se aprovada essa funcao so podera ser utilizada apos o desbloqueio e esta sujeita a cobranca da tarifa de anuidade conforme Tabela Geral de Tarifas
Como posso atualizar meu cadastro para recebimento de correspondencias,Se voce usa o cartao de seguranca Itau ou iToken Itau voce pode fazer a alteracao de seu endereco pela internet Clique em contacorrente gt dados cadastrais gt endereco de correspondenciaCaso tenha o cartao Itaucard a alteracao do endereco para entrega de suas faturas pode ser feita pela internet clique em cartao de credito gt consultas Itaucard gt dados cadastrais ou pela central ItaucardSe voce nao usa o cartao de seguranca Itau ou o iToken Itau em suas operacoes na internet a alteracao pode ser feita em qualquer agencia Basta apresentar o novo comprovante de endereco atualizadoE preciso que o novo comprovante de endereco esteja em seu nome e atenda aos seguintes criterios Contas de agua luz telefone fixo gas com ate 120 dias de sua emissao Certificado de registro de veiculos do exercicio atual Carne de IPTU do exercicio em vigor Notificacao do Imposto de Renda ano base ou calendario atual Documentos emitidos por orgaos municipais estaduais ou federais do ano atualPara utilizar o Itau na internet e preciso que voce tenha a senha eletronica
Gostaria de saber o que significa as siglas D e C no meu extrato,Para facilitar a identificacao debitos ou creditos nao compensados no dia do lancamento sao identificados com as letras D debito do dia a compensar e C credito do dia a compensar respectivamente
Posso solicitar a inclusao de outra pessoa em minha contacorrente,Para inclusao de titulares na contacorrente e necessario que ambos comparecam na agencia A pessoa que sera incluida na conta deve levar os originais do CPF RG e comprovantes atuais de residencia e rendaO gerente verificara a possibilidade de inclusao de um segundo titular na conta
Como contratar a iConta Itau,Voce pode agilizar a abertura de conta na opcao contacorrentegt abra sua conta Basta preencher o formulario mas a efetivacao da conta contratacao ou a migracao do pacote sao feitas somente nas agencias do ItauCaso queira ter uma iConta Itau nao podera ter outra conta com outro pacote no bancoA iConta podera ser somente individual ou conjunta solidaria A opcao de conjunta naosolidaria nao sera aceita
Quais as vantagens da iConta Itau,Com esta conta voce economiza tempo ganha praticidade e realiza suas operacoes bancarias de forma rapida e segura Nao paga mensalidade pelas transacoes incluidas no pacote e tem transacoes eletronicas ilimitadasConfira aqui todas as transacoes incluidas no pacote
O que nao esta incluido na iConta Itau,Nao estao incluidas as transacoes que envolvam atendimento pessoal telefonico ou na agencia Os canais com atendimento humano e taloes de cheque serao sempre tarifados de acordo com nossa Tabela Geral de Tarifas
Como serei informado que a minha conta foi encerrada,Voce pode acompanhar o processo de encerramento com seu cartao nos canais eletronicos A informacao do encerramento estara disponivel para consulta uma unica vez no prazo de ate 90 dias apos a data do encerramento Depois deste prazo ou apos a data da realizacao da consulta o cartao de debito e senha serao canceladosCaso tenha alguma duvida procure um funcionario nas agencias do Itau
Como posso fazer a confirmacao do encerramento de uma contacorrente,Com o seu cartao nos caixas eletronicos internet ou no telefone Apos a conclusao do encerramento seu acesso a conta e senhas serao cancelados automaticamente
Gostaria de saber o que significa as siglas D e C no meu extrato,Para facilitar a identificacao debitos ou creditos nao compensados no dia do lancamento sao identificados com as letras D debito do dia a compensar e C credito do dia a compensar respectivamente
Existe um saldo na contacorrente que considero indevido como posso obter esclarecimentos,Converse com o seu gerente para que ele acesse a sua conta verifique os ultimos lancamentos e esclareca suas duvidas
Como faco a reativacao de uma contacorrente,Para reativar a sua conta va ate a sua agencia com os documentos pessoais originais e o cartao Itau se ainda possuir O gerente pode analisar as informacoes junto ao sistema do banco e definir a possibilidade de voltar a movimentar esta conta
Houve um lancamento indevido na minha contacorrente Como peco o estorno e regularizacao da operacao,Voce pode comparecer em sua agencia para que a nossa equipe verifique a possibilidade de estornonbsp
Minha conta esta com um apontamento Qual o motivo e como eu faco para regularizar,Converse com o seu gerente para que ele avalie o tipo de apontamento e informe sobre os procedimentos que devem ser adotados para a regularizacao
Apos o encerramento da conta o que ocorre com meus emprestimos em aberto,O encerramento da conta nao implica na quitacao de operacoes de credito obrigacoes ou contratos pendentes de cumprimento A maioria dos produtos Itau podera ter sua forma de pagamento alterada para boleto bancario
Sou estrangeiro e nao sou residente no Brasil e possivel abrir conta,As contas de naoresidentes no pais sao contas de deposito em moeda nacional tituladas por pessoas fisicas ou juridicas domiciliadas ou com sede no exterior Sao regulamentadas pelas circulares 2677 e 3187 do Banco Central do Brasil  BACEN e so podem ser movimentadas apos seu registro no orgaoPessoas fisicas podem efetuar a abertura de conta nos seguintes casos Estrangeiro com visto temporario que tenha adentrado no Brasil ha menos de 12 meses e nao possua qualquer vinculo empregaticio Funcionario estrangeiro de governo estrangeiro embaixada ou consulado ou de organismo internacional reconhecido pelo governo brasileiro Brasileiro com residencia permanente no exterior e que comprovadamente tenha dado baixa e quitacao na Receita Federal de seu domicilio fiscalPor estarem credenciadas a operar no mercado de cambio e taxas flutuantes somente algumas agencias estao autorizadas a abrir e manter contas de naoresidentes 0057  Sao Paulo  Central 3741  Personnalitenbsp Paulista 7011  Personnalite  ST COML SUL 7041  Personnalite Rio 7054  Personnalite Libero 7055  Personnalite  Paulista 2Os documentos necessarios sao Comprovante de inscricao no CPF Documento de identificacao em que conste a filiacao Passaporte incluindo todas as paginas nas quais constam as datas de entrada no Pais Carteira de identidade fornecida pelo Ministerio das Relacoes Exteriores ou Departamento de Policia Federal Comprovante de residencia no pais de origem emitido em no maximo 120 dias da data de abertura da conta conta de agua luz telefone gas ou relativa a qualquer outra tarifa publica do pais onde reside ou certificado de registro de veiculo ou outros documentos emitidos por orgaos publicos do pais onde reside ano atual ou anterior ao da abertura da conta Se o proponente nao for cliente deve entregar o comprovante de endereco em seu nome ou em nome de parente desde que comprove documentalmente o vinculo de parentesco Referencia bancaria emitida por banco de primeira linha no exterior Comprovante de residencia no Brasil ou declaracao de residencia firmada pela embaixada ou consulado para a abertura de contas para embaixadores consules diplomatas membros de missoes diplomaticas ou funcionarios estrangeiros de que prestam servicos e os respectivos dependentes desde que nao exercam outra atividade remunerada e nao possuam outra fonte de renda tributada no pais Declaracao do proponente com o motivo e com a finalidade da abertura da conta e os bancos nos quais mantem contacorrente no pais de origem Comprovante de renda para avaliacao da capacidade financeira do proponente No caso da impossibilidade de apresentacao de qualquer um desses documentos em nome do proprio proponente deve ser apresentada declaracao firmada por pessoa idonea domiciliada no Brasil junto com os documentos originais e entregue as respectivas copias dos seus documentos pessoais documento de identificacao CPF e comprovante de residenciaNo caso de o proponente ser representado por procurador alem da sua documentacao e necessario apresentar a documentacao pessoal do procurador documento de identificacao CPF e comprovantes de residencia alem da procuracao que pode ser Concedida no Brasil por instrumento publico registrado em cartorio Concedida no Brasil por instrumento particular com firma reconhecida Lavrada em tabelionato estrangeiro desde que devidamente legalizada na embaixada ou consulado brasileiro no exteriorE importante observar o prazo de vigencia da procuracao e obrigatorio que o procurador da pessoa juridica resida no BrasilTodo documento produzido no exterior deve obrigatoriamente ser notarizado e consularizado bem como ser traduzido por tradutor juramentado
Como faco para encerrar a contacorrente de um titular falecido,O encerramento de conta individual de titular falecido somente pode ocorrer com a solicitacao do inventariante ou por determinacao legal Em casos excepcionais a solicitacao tambem pode ser efetuada pelos herdeiros sem a necessidade de apresentacao de certidao de inventarianteDeve ser entregue copia autenticada da certidao de obito do titular da conta e dos documentos pessoais documento de identificacao e comprovante do CPF do inventariante ou herdeiro e se for o caso documento que comprove a nomeacao judicial do inventariante termo de compromisso de inventariante ou copia da escritura publica de inventario
O que e o sigilo bancario,E o dever que o banco tem de conservar sigilo em suas operacoes ativas passivas e servicos prestados Caracteriza quebra de sigilo bancario a divulgacao a terceiros de informacoes ou documentos que nao sejam de conhecimento publico mesmo que nao descrevam operacoes bancarias como fichas cadastros e dados de identificacao de clientesSao considerados terceiros quaisquer pessoas que nao sejam autorizadas pelo cliente a obter informacoes ou documentos relativos aos seus contratos de conta corrente ou poupanca investimentos emprestimos ou servicos prestados pelo Itau inclusive agentes ou fiscais de orgaos publicos ou privados com excecao das hipoteses de apresentacao de requisicao de informacoes sobre movimentacao financeira  RMF ministerio publico delegados de policia etcO dever do sigilo bancario e extensivo a todos os orgaos e funcionarios em relacao as operacoes que realizarem e as informacoes que obtiverem no exercicio de suas atribuicoes
Estou no exterior e possivel abrir conta pela internet,Para que uma pessoa residente no exterior possa abrir uma conta ela pode agilizar o processo pela internet clicando aqui E preciso vir ao Brasil para efetuar a abertura pois a legislacao brasileira nao permite a abertura de conta pela internetNo Brasil e preciso procurar uma das agencias credenciadas a operar no mercado de cambio e taxas flutuantes que um gerente cuidara do processo de abertura
Estou no exterior como faco o encerramento da contacorrente,O encerramento da contacorrente para nao residentes no Pais precisa ser feito por procuracao que deve ser solicitada ao consulado brasileiro do pais onde titular se encontra e que de plenos poderes ao procurador para o fim a que se destina encerramento da contacorrenteLembramos que Se a conta for do tipo individual a procuracao devera ser feita pelo titular da conta Se a conta for do tipo eou a procuracao devera ser feita ou pelo titular da conta ou pelo cotitular Se a conta for do tipo e todos os titulares devem fazer a procuracao
Como faco a atualizacao do numero do telefone, Pela internet na rota contacorrente gt dados cadastrais gt telefone Pelos telefones 4004 4828 Sao Paulo e regioes metropolitanas 0800 970 48 28 demais localidades Em qualquer agencia
Como faco para desbloquear meu talao de cheques,Acessando o Itau 30 horas pela internet voce podera desbloquear os taloes de cheques por meio da rota Conta Corrente gt Cheques gt BloqueioDesbloqueio  Desbloquear TaloesSe preferir pode realizar o desbloqueio nos caixas eletronicos ou pelo telefonePara acessar sua conta pela internet ou telefone e necessaria a utilizacao da senha eletronica Caso ainda nao tenha cadastrado e necessario fazelo em qualquer caixa eletronico do Itau
O que e Tarifa de Adiantamento a Depositante,O Adiantamento a Depositantes e uma analise ou avaliacao emergencial feita pelo banco e permite que um debito do cliente seja realizado mesmo que nao haja saldo suficiente em sua conta ou que esteja acima do limite de Cheque Especial contratado Pela analise e concessao do credito emergencial e cobrada uma unica vez por mes uma tarifa de adiantamento a depositantes O servico nao significa garantia na concessao do credito para acolher o debito descoberto A concessao sempre estara condicionada a analise e avaliacao realizadas pelo Itau
Onde posso consultar a tabela geral de tarifas,A consulta pode ser realizada no site do Itau atraves do caminho Produtos gt Conta Corrente gt Tabela Geral de TarifasE necessario ter o programa Adobe Reader para visualizar a tabela
Como faco para verificar o valor de mensalidade do meu pacote de servicos,O valor de mensalidade de cada pacote de servicos pode ser consultado na Tabela Geral de Tarifas vigente disponivel nas agencias ou clique aqui
Qual o pacote de servicos mais adequado para minha conta Como faco para comparar os pacotes de servicos disponiveis para contratacao no Itau,O Itau oferece diversos pacotes de servicos de contacorrente e de conta poupanca para cada perfil de cliente Voce pode escolher o pacote de servicos que melhor atenda a sua necessidade de movimentacao de conta Clique aqui
O que e o Plano de Vantagens Itau,O Plano de Vantagens Itau oferece beneficios de acordo com o seu relacionamento e a sua utilizacao dos servicos do Itau Clique aqui para conferir os beneficios disponiveisnbspConheca tambem o Plano de Vantagens Itau UniclassnbspA adesao nao e obrigatoria e gratuita e pode ser feita em qualquer agencia do Itau
Como faco para aderir ao Plano de Vantagens Itau ou Plano de Vantagens Itau Uniclass,A adesao podera ser feita em qualquer agencia do ItauConsulte os beneficios do Plano de Vantagens Itau ou Plano de Vantagens Itau UniclassnbspAo aderir o Plano de Vantagens ItauPlano de Vantagens Itau Uniclass voce passara a contar com o beneficio escolhido mas deixara de contar com quaisquer isencoes condicoes especiais ou precos diferenciados de pacotes de servicos e outros servicos incluindo aqueles decorrentes de negociacoes do Itau com a sua empresa
Quais sao as condicoes para recebimento do beneficio aderido no Plano de Vantagens Itau ou Plano de Vantagens Itau Uniclass,As condicoes para recebimento do beneficio aderido saoEstar em dia com o pagamento da mensalidade do pacote de servicos caso contratado e de demais tarifas de servicos excedentesEstar em dia com o pagamento dos produtos de credito do Itau caso possuaCadastrar um numero de celular valido e ativo para recebimento do beneficio ou estar cadastrado na Biometria Itau ou ter utilizado os canais eletronicos do Itau internet caixa eletronico ou o aplicativo Itau no celular ou tablet nos ultimos 90 dias ePagar o valor mensal minimo estipulado no regulamento em mensalidade de pacote eou transacoes excedentes saque cheque extrato e transferencia entre contas do ItaunbspConsulte o regulamento do Plano de Vantagens Itau ou Plano de Vantagens Itau Uniclass
Quais tarifas sao consideradas no Plano de Vantagens Itau ou Plano de Vantagens Itau Uniclass,Sao consideradas as tarifas pagas em valor da mensalidade do pacote se contratado bem como as tarifas de transacoes excedentes referentes a saques transferencias entre contas Itau exceto DOC e TED fornecimento de folhas de cheque e emissao de extratosConsulte o regulamento do Plano de Vantagens Itau ou Plano de Vantagens Itau UniclassNao aplicavel para conta poupanca
Ao fazer a adesao ao Plano de Vantagens Itau ou Plano de Vantagens Itau Uniclass e possivel alterar o numero de celular para recebimento do bonus celular,Apos a adesao e no caso de escolha do beneficio bonus celular e possivel alterar o numero de celular para recebimento do bonus Essa alteracao podera ser feita sempre que o cliente desejar e em qualquer agencia do Itau
Quais sao as operadoras conveniadas para o beneficio do bonus celular do Plano de Vantagens Itau ou Plano de Vantagens Itau Uniclass,O bonus celular sera disponibilizado pelas operadoras de telefonia movel com as quais o Itau mantenha relacionamento Vivo Claro e Oi planos Oi Pre e Controle para pessoas fisicas As operadoras TIM e Nextel nao fazem parte das operadoras conveniadas para este beneficio
E possivel alterar o tipo de beneficio contratado no Plano de Vantagens Itau ou Plano de Vantagens Itau Uniclass,Voce pode a qualquer momento alterar o beneficio escolhido A alteracao pode ser feita em qualquer agencia do Itau Nesse caso verifique no regulamento as condicoes para elegibilidade e concessao do novo beneficionbspConsulte o regulamento do Plano de Vantagens Itau ou Plano de Vantagens Itau Uniclass
E possivel alterar o tipo de beneficio contratado no Plano de Vantagens Itau ou Plano de Vantagens Itau Uniclass,Voce pode a qualquer momento alterar o beneficio escolhido A alteracao pode ser feita em qualquer agencia do Itau Nesse caso verifique no regulamento as condicoes para elegibilidade e concessao do novo beneficionbspConsulte o regulamento do Plano de Vantagens Itau ou Plano de Vantagens Itau Uniclass
Quando o beneficio escolhido no Plano de Vantagens Itau estara disponivel para utilizacao,Bonus celular sera disponibilizado no numero de celular indicado em ate 7 sete dias uteis apos o pagamento da mensalidade do pacote de servicos eou transacoes excedentes exceto se previsto de forma diferente no regulamento especifico da operadora de telefonia movelJuros reduzidos a reducao das taxas sera disponibilizada somente apos o pagamento em dia da mensalidade do pacote de servicos eou das transacoes excedentes consideradas ate o segundo dia util de cada mes Os prazos de concessao da reducao de taxas para cada produto podem ser consultados a qualquer momento no regulamento do Plano de Vantagens Itau ou em qualquer agencia do Itau As taxas de juros vigentes e as taxas reduzidas tambem poderao ser consultadas a qualquer momento no site do Itau ou nas agenciasPara consultar o regulamento do Plano de Vantagens Itau clique aqui
Quando o beneficio escolhido no Plano de Vantagens Itau Uniclass estara disponivel para utilizacao,10 dias sem juros no cheque especial a isencao de juros no LIS sera concedida apos o pagamento em dia da mensalidade do pacote de servicos eou das transacoes excedentes consideradas ate o segundo dia util de cada mes Os 10 dez dias de utilizacao do limite podem ser corridos ou alternados e valerao a cada renovacao mensal do LISBonus celular sera disponibilizado no numero de celular indicado em ate 7 sete dias uteis apos o pagamento da mensalidade do pacote de servicos eou transacoes excedentes exceto se previsto de forma diferente no regulamento especifico da operadora de telefonia movelJuros reduzidos a reducao das taxas sera disponibilizada somente apos o pagamento em dia da mensalidade do pacote de servicos eou das transacoes excedentes consideradas ate o segundo dia util de cada mes Os prazos de concessao da reducao de taxas para cada produto podem ser consultados a qualquer momento no regulamento do Plano de Vantagens Itau Uniclass ou em qualquer agencia do Itau As taxas de juros vigentes e as taxas reduzidas tambem poderao ser consultadas a qualquer momento no site do Itau ou nas agenciasnbspPara consultar o regulamento do Plano de Vantagens Itau Uniclass clique aqui
Quais sao os documentos necessarios para abertura de conta pela internet,Voce precisa ter em maos os seguintes documentos Documento de identificacao com foto carteira de identidade ou de motorista ou RNE  Registro Nacional de Estrangeiro Comprovante de endereco em seu nome e emitido em ate 60 dias  conta de luz telefone gas etc
Posso abrir uma conta conjunta pela internet,Pela internet e possivel abrir apenas contas correntes individuais Para realizar a abertura de uma conta conjunta e so ir ate a agencia mais proxima com os documentos de identificacao e comprovante de residencia dos interessados
Tenho menos de 18 Posso abrir uma conta pela internet,Pela internet nao e possivel abrir uma conta para menores de 18 anos A abertura desse tipo de conta corrente exige a presenca de um representante legal ou um documento de emancipacaoPara fazer a abertura desta conta e so ir ate ate a agencia do Itau mais proxima portando todos os documentos necessarios
Posso abrir uma conta universitaria pela internet,Nao e possivel abrir conta universitaria pela internet mas se voce estiver matriculado em algum curso de graduacao ou posgraduacao voce pode ir ate a agencia Itau mais proximaVoce precisara dos seguintes documentos Documento de identificacao com foto carteira de identidade ou de motorista ou RNE  Registro Nacional de Estrangeiro Comprovante de endereco em seu nome e emitido em ate 120 dias  conta de luz telefone gas etc Comprovante de matriculaSao aceitos como comprovantes de matricula Boleto da mensalidade  emitido em ate 120 dias nao precisa estar quitado Carteira de identificacao emitida pela faculdade deve constar a data de validade e estar no periodo de vigencia Atestado de matricula ou documento emitido em papel timbrado com assinatura do representante da faculdade ou em papel comum com assinatura e carimbo do representante da faculdadeSe voce for menor de 18 anos devera ir a agencia com o seu representante legal ou com um documento de emancipacao
O que pode impedir a abertura de conta corrente pela internet,Alguns motivos como CPF com pendencia na Receita Federal Documentos invalidos ou ilegiveis Restricoes impostas por LeiSe a sua conta nao puder ser aberta voce sera informado por email ou SMS
Como encerro uma conta aberta pela internet,Voce pode acessar a sua conta pelo Itau na internet e digitar encerramento de conta no campo de busca seguindo o passo a passo das telas
